"ID","Kluczowa myśl (2-4 zdania, język sprzedawcy)","Potencjalne zastosowanie w rozmowie"
"PSYCHOLOGY_SOCIAL_PROOF_001","https://www.semanticscholar.org/paper/12f66e85948e4555765b00b38bb8ca5a6cf92db4","Przy obiekcji „nikt ze znajomych nie ma Tesli” pokazujesz, że w praktyce większość EV-owców wybiera właśnie Teslę."
"PSYCHOLOGY_SCARCITY_001","https://dl.acm.org/doi/10.1145/3585088.3589387","Tworzysz FOMO: „Jeśli dziś potwierdzimy zamówienie, kasa z puli jest dla Pana zarezerwowana”."
"PSYCHOLOGY_ENDOWMENT_EFFECT_001","https://www.business-inform.net/export_pdf/business-inform-2023-6_0-pages-191_196.pdf","Proponuj jazdę od piątku do poniedziałku – „oddanie” samochodu stanie się emocjonalnie trudne."
"PSYCHOLOGY_LOSS_AVERSION_001","https://www.business-inform.net/export_pdf/business-inform-2023-6_0-pages-191_196.pdf","„Ile dopłatacie rocznie stacji benzynowej? Tę stratę możemy zatrzymać już w tym kwartale.”"
"PSYCHOLOGY_ANCHORING_001","https://www.economics-sociology.eu/?1050,en_influence-of-marital-status-on-persuasion-strategies-in-advertising-regarding-intention-to-purchase","Skuteczna technika w salonie i online-konfiguratorze; klient sam „obniża” cenę, więc czuje się zwycięzcą."
"SALES_TACTIC_SPIN_001","https://www.shs-conferences.org/articles/shsconf/pdf/2016/06/shsconf_rptss2016_01122.pdf","W discovery-call struktura SPIN zamienia „prezentację” w dialog konsultacyjny."
"SALES_TACTIC_CHALLENGER_001","https://www.mdpi.com/0718-1876/19/2/59/pdf?version=1716371706","Idealne dla decydentów flotowych, którzy szukają twardego business case’u."
"SALES_TACTIC_FUD_BUSTER_001","https://www.frontiersin.org/articles/10.3389/fpsyg.2020.01385/pdf","Neutralizujesz Fear-Uncertainty-Doubt w trzech krokach bez defensywnego tonu."
"SALES_TACTIC_RANGE_ANCHOR_001","https://www.economics-sociology.eu/?1050,en_influence-of-marital-status-on-persuasion-strategies-in-advertising-regarding-intention-to-purchase","Klient skupia się na górnej granicy i rzadziej schodzi poniżej Twojego minimum."
"SALES_TACTIC_TRY_TO_BUY_001","https://revistaft.com.br/psychological-strategies-to-enhance-sales-performance/","Taktyka „płać-jeśli-nie-kupisz” obniża barierę wejścia i wzmacnia przywiązanie do auta."
